20032,복재민,010-8292-1608,강원도 원주시 행구동 1847-3,4,D005,컴퓨터공학
20033,복준완,010-2068-9180,충남 아산시 배방읍 복수리 1019,2,D002,국어국문
20034,비현호,010-7126-2770,울산시 동구 서부동 113-48,1,D004,전자공학
20035,빈성희,010-9809-5693,경기도 화성시 봉담읍 동화리 113-1번지,3,D005,컴퓨터공학
20036,사성준,010-8788-6192,경남 창원시 대방동 자양로 136,2,D002,국어국문
20037,사원혁,010-2691-2323,서울시 도봉구 쌍문동 45-8,2,D001,관광학
20038,사원호,010-2610-8201,경남 창원시 진해구 이동 464-2번지,3,D002,국어국문
20039,삼윤후,010-5403-8749,인천시 연수구 동춘동 926번지,4,D004,전자공학
20040,삼찬후,010-9915-1295,경북 경주시 성건동 684-9번지,2,D003,법학
20041,석서훈,010-1828-6106,전남 구례군 산동면 좌사리 110-1,2,D005,컴퓨터공학
20042,성성율,010-8808-8856,서울시 강북구 미아동 838-4번지,1,D002,국어국문
20043,소대권,010-8598-1898,경기도 성남시 분당구 삼평동 741,3,D002,국어국문
20044,소윤수,010-1236-0704,경남 김해시 장유면 관동리 1101-1번지,1,D005,컴퓨터공학
20045,순대영,010-4890-4690,경기도 과천시 막계동 33,3,D003,법학
20046,신찬영,010-1612-0506,충남 아산시 배방읍 장래리 1760 ,2,D001,관광학
20047,심장호,010-3004-0855,광주시 서구 치평동 1223-3,4,D003,법학
20048,아동은,010-9257-0554,경기도 파주시 동패동 56,3,D001,관광학
20049,야유신,010-8589-5342,경기도 일산시 서구 대화동 2606,2,D002,국어국문
20050,양동인,010-8272-8973,광주시 남구 진월동 259번지,4,D005,컴퓨터공학
20051,양은성,010-3521-7780,부산시 동래구 명륜동 569-12,1,D004,전자공학
20052,어민기,010-2599-4110,전북 김제시 검산동 844,1,D005,컴퓨터공학
20053,엄은진,010-2008-9468,경기도 용인시 처인구 김량장동 23-1번지,1,D003,법학
20054,여동은,010-3810-0402,충남 천안시 석북구 백석동 878번지,4,D005,컴퓨터공학
20055,여민국,010-9263-0275,경기도 수원시 권선구 금곡동 572-5,4,D005,컴퓨터공학
20056,연연재,010-5183-5994,서울시 영등포구 여의도동 23번지,3,D004,전자공학
20057,옥원준,010-3673-8542,강원도 원주시 문막읍 동화리 113번지,4,D004,전자공학
20058,옥채훈,010-1849-4596,서울시 광진구 구의동 611번지,3,D003,법학
20059,옹효성,010-1601-6251,충남 공주시 중동 67-3번지,1,D001,관광학
20060,운윤태,010-5593-0417,인천시 서구 마전동 621-5,3,D002,국어국문
20061,원성빈,010-1417-1851,울산시 동구 서부동 315-34,1,D003,법학
20062,유민국,010-6349-8862,경기도 수원시 천천동 528-1,3,D001,관광학
20063,유성율,010-7325-4835,충남 공주시 신관동 191-7번지,3,D002,국어국문
20064,유준호,010-6636-1298,경기도 안산시 상록구 본오동 874-11,3,D004,전자공학
20065,은채혁,010-2758-8380,충남 아산시 탕정면 명암리 931-1,2,D001,관광학
20066,은현준,010-7749-8973,대전시 서구 도안동 963번지,2,D004,전자공학
20067,이윤진,010-5592-2828,전남 여수시 종화동 470,2,D005,컴퓨터공학
20068,전동원,010-8386-0199,인천시 송도 커넬워크 3동,1,D002,국어국문
20069,점재민,010-5744-1505,울산시 중구 태화동 593-17,3,D005,컴퓨터공학
20070,제갈동연,010-8624-3574,경기도 고양시 일산구 주엽2동 22번지,1,D004,전자공학
20071,제동희,010-1419-1208,경기도 용인시 기흥구 보라동 579-2,4,D003,법학
20072,제민기,010-3888-8410,부산시 해운대구 좌동 1270-5 103호,4,D004,전자공학
20073,제영후,010-8658-7187,경북 경주시 천군동 206-3,3,D002,국어국문
20074,제유상,010-5173-7003,경기도 남양주시 별내면 화점리 58-65,4,D001,관광학
20075,지승현,010-9434-4829,충남 천안시 불당동 아산신도시 222,4,D003,법학
20076,진대원,010-5266-9628,부산시 연제구 연산동728-1번지,1,D003,법학
20077,진대윤,010-4950-5012,경기도 가평군 청평면 대성리 399-103,2,D003,법학
20078,진동혜,010-3136-4230,대전시 서구 도마동 29-32번지,1,D004,전자공학
20079,진승우,010-4562-7081,인천시 계양구 임학동 67-9,4,D004,전자공학
20080,진승일,010-7940-9108,경기도 수원시 영통구 광교신도시 2-51-1,3,D003,법학
20081,진승환,010-5139-0982,인천시 연수구 선학동 406-5번지,4,D003,법학
20082,초시민,010-2151-2533,서울시 동대문구 전농동 30-3,1,D003,법학
20083,초원혁,010-2089-6504,광주시 북구 운암동1044-2번지,3,D002,국어국문
20084,초재현,010-4988-2458,광주시 서구 금호동 762-5번지,3,D004,전자공학
20085,최장현,010-1925-2251,경북 경주시 북군동 57-24,1,D003,법학
20086,춘대권,010-7190-6693,충남 부여군 부여읍 구아리 96-4,1,D002,국어국문
20087,춘인규,010-1264-5051,경남 진주시 상대동 300-59번지,4,D002,국어국문
20088,춘찬영,010-9822-3260,울산시 중구 옥교동 95,2,D004,전자공학
20089,판한수,010-5837-8755,서울시 종로구 관철동 5-13 1층,2,D004,전자공학
20090,평윤섭,010-5514-7816,인천시 연수구 동춘동 937-3번지,3,D005,컴퓨터공학
20091,풍동해,010-4458-7868,서울시 중구 신당동 140-10 1층,2,D003,법학
20092,피태영,010-8282-7331,경기도 부천 원미구 상동 539-1 4층,4,D005,컴퓨터공학
20093,필영후,010-9278-5758,서울시 서대문구 성산로 250번지,4,D005,컴퓨터공학
20094,하재찬,010-8076-4765,대구시 달서구 감삼동 452-3,4,D005,컴퓨터공학
20095,함민서,010-9639-9435,경기도 수원시 영통구 광교신도시 13,4,D002,국어국문
20096,해송혁,010-8869-8271,전남 목포시 용당동 1088-8,2,D002,국어국문
20097,허시후,010-8937-9958,경남 거창군 거창읍 상림리 825번지,1,D005,컴퓨터공학
20098,황원혁,010-5606-8146,울산시 남구 달동 130-3번지,4,D005,컴퓨터공학
20099,흥동현,010-7885-1133,서울시 양천구 신정동 1183-9,3,D001,관광학
20100,흥은성,010-7039-5289,경북 구미시 봉곡동 204-1,3,D002,국어국문
